targeting_type,type
In-Market Audiences,Apparel & Accessories > Shoes > Athletic Shoes
In-Market Audiences,Apparel & Accessories > Shoes > Boots
In-Market Audiences,Apparel & Accessories > Shoes > Dress Shoes
In-Market Audiences,Apparel & Accessories > Socks
In-Market Audiences,Apparel & Accessories > Swimwear
In-Market Audiences,Apparel & Accessories > Underwear
In-Market Audiences,"Apparel & Accessories > Wallets, Briefcases & Leather Goods"
In-Market Audiences,Apparel & Accessories > Women's Apparel
In-Market Audiences,Arts & Crafts Supplies
In-Market Audiences,Autos & Vehicles
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Auto Exterior Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Auto Interior Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Automotive Electronic Components
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Car Batteries
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Car Brakes
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Engine & Transmission
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > High Performance & Aftermarket Auto Parts
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Wheels & Tires
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance > Brake Service & Repair
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance > Collision & Auto Body Repair
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance > Glass Repair & Replacement
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance > Oil Changes
In-Market Audiences,Autos & Vehicles > Auto Repair & Maintenance > Transmission Repair
In-Market Audiences,Autos & Vehicles > Motor Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Acura
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Alfa Romeo
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Audi
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > BMW
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Buick
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Cadillac
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Chevrolet
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Chrysler
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > CitroAn
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Dodge
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Fiat
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Ford
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Gmc
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Honda
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Hyundai
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Infiniti
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Isuzu
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Jaguar
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Jeep
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Kia
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Land Rover
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Lexus
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Lincoln
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Maserati
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Mazda
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Mercedes-Benz
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Mini
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Mitsubishi
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Nissan
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Peugeot
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Porsche
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Ram Trucks
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Renault
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > SEAT
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Scion
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Subaru
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Suzuki
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Tesla Motors
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Toyota
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Vauxhall-Open
